time,sst_anomaly
1982-01-15,-0.22812633
1982-02-15,-0.25176266
1982-03-15,-0.63939565
1982-04-15,-0.82847565
1982-05-15,-1.3471369
1982-06-15,-0.6126541
1982-07-15,-0.7548428
1982-08-15,-1.3676598
1982-09-15,-1.008956
1982-10-15,-0.62887037
1982-11-15,-0.6465659
1982-12-15,-1.286453
1983-01-15,-1.2434199
1983-02-15,-1.307278
1983-03-15,-1.23066
1983-04-15,-1.2063545
1983-05-15,-1.0644214
1983-06-15,-1.5580952
1983-07-15,-0.6521346
1983-08-15,-1.5232941
1983-09-15,-1.210948
1983-10-15,-1.0692927
1983-11-15,-0.8669899
1983-12-15,-0.9860611
1984-01-15,-0.7556451
1984-02-15,-0.9068118
1984-03-15,-0.87274235
1984-04-15,-0.9934783
1984-05-15,-2.0011597
1984-06-15,-2.469822
1984-07-15,-2.068923
1984-08-15,-2.2251863
1984-09-15,-1.7898159
1984-10-15,-1.4870524
1984-11-15,-0.5479987
1984-12-15,-0.35070962
1985-01-15,-0.6662275
1985-02-15,-0.46393755
1985-03-15,-0.69436985
1985-04-15,-0.76218027
1985-05-15,-1.1413311
1985-06-15,-0.78708535
1985-07-15,-0.932097
1985-08-15,-1.1161029
1985-09-15,-0.79840916
1985-10-15,-0.4850916
1985-11-15,-0.6036622
1985-12-15,-0.30800557
1986-01-15,-0.19906712
1986-02-15,-0.4886032
1986-03-15,-0.4095139
1986-04-15,-0.45092162
1986-05-15,-0.26389003
1986-06-15,-1.0940533
1986-07-15,-1.1454694
1986-08-15,-0.7086968
1986-09-15,-0.3698283
1986-10-15,-0.32267
1986-11-15,-0.6352371
1986-12-15,-0.43833014
1987-01-15,-0.98779494
1987-02-15,-0.78087693
1987-03-15,-0.98880035
1987-04-15,-1.1831886
1987-05-15,-2.05868
1987-06-15,-1.9133308
1987-07-15,-0.9782973
1987-08-15,-1.1166549
1987-09-15,0.09466213
1987-10-15,-0.12624775
1987-11-15,-0.7061961
1987-12-15,-0.57745
1988-01-15,-0.07037752
1988-02-15,6.814039e-05
1988-03-15,-0.40866753
1988-04-15,-0.36732748
1988-05-15,-0.5661117
1988-06-15,-1.2098905
1988-07-15,-0.5531465
1988-08-15,-0.34698886
1988-09-15,-0.8737485
1988-10-15,-0.7323155
1988-11-15,-0.80317366
1988-12-15,-1.0596662
1989-01-15,-0.8001245
1989-02-15,-0.6748527
1989-03-15,-0.48315698
1989-04-15,-0.22985247
1989-05-15,-0.85522854
1989-06-15,-1.3935717
1989-07-15,-1.1131189
1989-08-15,-0.83893013
1989-09-15,-0.82003623
1989-10-15,-1.2667401
1989-11-15,-0.4584551
1989-12-15,-0.14607319
1990-01-15,0.0061240965
1990-02-15,0.092001125
1990-03-15,0.04188634
1990-04-15,-0.13205425
1990-05-15,0.17870535
1990-06-15,-1.0428786
1990-07-15,-0.7387067
1990-08-15,-0.86676973
1990-09-15,-0.8276939
1990-10-15,0.038592037
1990-11-15,0.28047863
1990-12-15,-0.08053232
1991-01-15,0.12287934
1991-02-15,-0.26500258
1991-03-15,-0.23462059
1991-04-15,-0.6320935
1991-05-15,-1.9752501
1991-06-15,-1.927773
1991-07-15,-1.4082153
1991-08-15,-0.9807282
1991-09-15,-0.29012412
1991-10-15,-0.31335187
1991-11-15,-0.6880691
1991-12-15,-0.89464974
1992-01-15,-0.881815
1992-02-15,-0.76747566
1992-03-15,-0.8979622
1992-04-15,-0.99038875
1992-05-15,-1.1079419
1992-06-15,-1.5892892
1992-07-15,-1.3152927
1992-08-15,-0.2075164
1992-09-15,-0.52893746
1992-10-15,-0.6165956
1992-11-15,-0.31024238
1992-12-15,-0.47168425
1993-01-15,-0.56980157
1993-02-15,-0.59680223
1993-03-15,-0.8517075
1993-04-15,-0.68621457
1993-05-15,-0.44548175
1993-06-15,-0.21165407
1993-07-15,-1.0814059
1993-08-15,-0.6312645
1993-09-15,-0.5527031
1993-10-15,-0.5833898
1993-11-15,-0.28965306
1993-12-15,-0.033914845
1994-01-15,0.015197843
1994-02-15,-0.3176202
1994-03-15,0.15353203
1994-04-15,-0.2295729
1994-05-15,-0.27715597
1994-06-15,-0.8031197
1994-07-15,-0.13321926
1994-08-15,0.32425886
1994-09-15,0.31785786
1994-10-15,0.27584445
1994-11-15,0.001350793
1994-12-15,-0.28389925
1995-01-15,-0.5821823
1995-02-15,-0.1035341
1995-03-15,-0.121838786
1995-04-15,-0.5101178
1995-05-15,-0.69383955
1995-06-15,-0.453711
1995-07-15,-0.17191732
1995-08-15,-0.061723
1995-09-15,-0.7554871
1995-10-15,-0.62780344
1995-11-15,-0.9339152
1995-12-15,-0.56889176
1996-01-15,-0.07056928
1996-02-15,-0.14932531
1996-03-15,-0.53529304
1996-04-15,-0.5915945
1996-05-15,-0.36845773
1996-06-15,-0.36738136
1996-07-15,-1.107518
1996-08-15,-0.63555086
1996-09-15,-1.2148973
1996-10-15,-1.4603727
1996-11-15,-0.9528745
1996-12-15,-0.41638938
1997-01-15,0.04862059
1997-02-15,0.2466054
1997-03-15,0.18620019
1997-04-15,-0.5373309
1997-05-15,-0.22701088
1997-06-15,0.023839757
1997-07-15,-0.8636821
1997-08-15,-0.767948
1997-09-15,-0.6196088
1997-10-15,-0.23203817
1997-11-15,-0.4661237
1997-12-15,-0.26852834
1998-01-15,0.10190604
1998-02-15,0.24042451
1998-03-15,0.06246801
1998-04-15,-0.042759567
1998-05-15,-0.40904826
1998-06-15,-0.20635064
1998-07-15,-0.28111133
1998-08-15,0.07422394
1998-09-15,-0.31367767
1998-10-15,-0.3625533
1998-11-15,-0.23731269
1998-12-15,-0.4886483
1999-01-15,-0.20795126
1999-02-15,-0.25152057
1999-03-15,-0.1960961
1999-04-15,-0.22211713
1999-05-15,0.33287698
1999-06-15,0.29449588
1999-07-15,-0.19269624
1999-08-15,0.14658783
1999-09-15,0.5301224
1999-10-15,0.5341026
1999-11-15,0.3500204
1999-12-15,-0.09656227
2000-01-15,-0.33926415
2000-02-15,-0.20598148
2000-03-15,-0.31735918
2000-04-15,-0.22436018
2000-05-15,0.50297326
2000-06-15,0.19297132
2000-07-15,-0.5881615
2000-08-15,-0.6737014
2000-09-15,-0.2616377
2000-10-15,-0.6568609
2000-11-15,-0.046931725
2000-12-15,0.269947
2001-01-15,0.042072054
2001-02-15,0.16077395
2001-03-15,0.5162502
2001-04-15,0.06602786
2001-05-15,-0.4329424
2001-06-15,-0.51454425
2001-07-15,-0.47120786
2001-08-15,-0.08970818
2001-09-15,-0.23886226
2001-10-15,0.67716974
2001-11-15,0.058973175
2001-12-15,-0.49818212
2002-01-15,-0.36384532
2002-02-15,0.115519874
2002-03-15,0.31004977
2002-04-15,-0.07015039
2002-05-15,-0.079113536
2002-06-15,-0.004281014
2002-07-15,-0.033662856
2002-08-15,-0.5255594
2002-09-15,-0.32676676
2002-10-15,-0.38880998
2002-11-15,-0.06263454
2002-12-15,0.067923054
2003-01-15,0.25286564
2003-02-15,-0.24043755
2003-03-15,-0.2942893
2003-04-15,-0.5048391
2003-05-15,0.5987256
2003-06-15,1.3772157
2003-07-15,1.0880638
2003-08-15,1.0046206
2003-09-15,-0.0018907067
2003-10-15,-0.15902571
2003-11-15,-0.09018594
2003-12-15,0.016492713
2004-01-15,-0.35601425
2004-02-15,-0.36832786
2004-03-15,-0.4439498
2004-04-15,-0.29306346
2004-05-15,-1.0032375
2004-06-15,-0.66583025
2004-07-15,-0.10880911
2004-08-15,-0.3152358
2004-09-15,-0.33164498
2004-10-15,0.13823654
2004-11-15,0.30821392
2004-12-15,0.06305418
2005-01-15,-0.109793685
2005-02-15,-0.53630227
2005-03-15,-0.5012568
2005-04-15,-0.60799325
2005-05-15,-0.088334076
2005-06-15,0.05118744
2005-07-15,-0.004103559
2005-08-15,-0.6398165
2005-09-15,-0.39895752
2005-10-15,-0.30012894
2005-11-15,-0.12554944
2005-12-15,-0.4712096
2006-01-15,-0.47778746
2006-02-15,-0.49362925
2006-03-15,-0.52076006
2006-04-15,-0.051868822
2006-05-15,0.22432023
2006-06-15,-0.42579362
2006-07-15,0.40903094
2006-08-15,-0.34119165
2006-09-15,-0.3888853
2006-10-15,0.068675704
2006-11-15,-0.06596494
2006-12-15,0.36584163
2007-01-15,0.32501215
2007-02-15,0.33989573
2007-03-15,0.33501217
2007-04-15,0.41863024
2007-05-15,0.5768059
2007-06-15,0.360753
2007-07-15,0.1066203
2007-08-15,-0.32055992
2007-09-15,-0.35372928
2007-10-15,-0.2552192
2007-11-15,-0.5012066
2007-12-15,-0.39436895
2008-01-15,0.016649911
2008-02-15,0.09998407
2008-03-15,0.22928654
2008-04-15,0.14540188
2008-05-15,0.09847787
2008-06-15,0.22934747
2008-07-15,0.38373622
2008-08-15,0.03798422
2008-09-15,0.28222078
2008-10-15,-0.34238923
2008-11-15,0.20729037
2008-12-15,-0.074820474
2009-01-15,-0.053697135
2009-02-15,-0.014150711
2009-03-15,-0.24846007
2009-04-15,-0.1864883
2009-05-15,0.34670562
2009-06-15,0.5341549
2009-07-15,0.36119252
2009-08-15,0.33069462
2009-09-15,0.31509888
2009-10-15,0.12419236
2009-11-15,-0.3944649
2009-12-15,-0.061354578
2010-01-15,0.19582413
2010-02-15,0.13091244
2010-03-15,0.23599595
2010-04-15,0.65431404
2010-05-15,0.24037407
2010-06-15,-0.056837164
2010-07-15,0.5737148
2010-08-15,0.13290605
2010-09-15,0.053562857
2010-10-15,-0.06717515
2010-11-15,-0.0743047
2010-12-15,0.20699519
2011-01-15,0.43043727
2011-02-15,0.4762113
2011-03-15,0.32677767
2011-04-15,0.64578706
2011-05-15,0.26016676
2011-06-15,0.21804547
2011-07-15,0.17266983
2011-08-15,-0.06536437
2011-09-15,0.73155946
2011-10-15,0.05446213
2011-11-15,-0.18819202
2011-12-15,0.2363694
2012-01-15,0.014865076
2012-02-15,-0.22654271
2012-03-15,-0.08373
2012-04-15,0.11880097
2012-05-15,0.4646192
2012-06-15,0.8337742
2012-07-15,0.90846425
2012-08-15,0.7781924
2012-09-15,0.23010314
2012-10-15,0.93460625
2012-11-15,0.8142528
2012-12-15,0.23590204
2013-01-15,0.16632558
2013-02-15,0.044857107
2013-03-15,0.0063680583
2013-04-15,0.3977443
2013-05-15,0.3782913
2013-06-15,-0.51162374
2013-07-15,-0.032990396
2013-08-15,0.18334275
2013-09-15,0.14877322
2013-10-15,0.32863563
2013-11-15,0.5554593
2013-12-15,0.06258676
2014-01-15,0.47817904
2014-02-15,0.5789205
2014-03-15,0.5623667
2014-04-15,0.7604198
2014-05-15,0.2321437
2014-06-15,0.13737445
2014-07-15,-0.338993
2014-08-15,-0.12561211
2014-09-15,0.5603673
2014-10-15,0.679011
2014-11-15,0.5008455
2014-12-15,0.86339706
2015-01-15,0.39890537
2015-02-15,0.16822836
2015-03-15,0.03452636
2015-04-15,0.09765646
2015-05-15,0.58141553
2015-06-15,0.31939864
2015-07-15,0.99426305
2015-08-15,0.9741914
2015-09-15,0.7335448
2015-10-15,0.4656052
2015-11-15,0.4758312
2015-12-15,0.54974055
2016-01-15,0.71890545
2016-02-15,0.7192968
2016-03-15,0.6593832
2016-04-15,0.9946157
2016-05-15,0.13013454
2016-06-15,0.30044267
2016-07-15,0.29093504
2016-08-15,-0.18150365
2016-09-15,0.4214938
2016-10-15,0.5743105
2016-11-15,0.64672697
2016-12-15,0.63624024
2017-01-15,0.15039271
2017-02-15,0.2214122
2017-03-15,0.5612142
2017-04-15,0.74441445
2017-05-15,0.6938408
2017-06-15,1.2947748
2017-07-15,0.76772606
2017-08-15,0.5305264
2017-09-15,0.0683065
2017-10-15,-0.019220712
2017-11-15,-0.12746896
2017-12-15,-0.06743907
2018-01-15,0.20892107
2018-02-15,0.37050638
2018-03-15,0.41256884
2018-04-15,0.88101125
2018-05-15,1.1898038
2018-06-15,1.0981207
2018-07-15,0.7016495
2018-08-15,0.9065369
2018-09-15,0.95809793
2018-10-15,0.38216755
2018-11-15,0.3573182
2018-12-15,0.32602903
2019-01-15,0.040548917
2019-02-15,0.038649835
2019-03-15,0.21551818
2019-04-15,-0.014266283
2019-05-15,-0.5244574
2019-06-15,0.64269334
2019-07-15,0.9680891
2019-08-15,0.5584977
2019-09-15,0.4750358
2019-10-15,0.78235894
2019-11-15,0.6152598
2019-12-15,0.5200487
2020-01-15,0.2842133
2020-02-15,0.58445406
2020-03-15,0.43980545
2020-04-15,0.47039557
2020-05-15,0.7805958
2020-06-15,-0.17040071
2020-07-15,0.4068311
2020-08-15,0.58042026
2020-09-15,0.7516652
2020-10-15,0.3655561
2020-11-15,0.6635519
2020-12-15,0.6699755
2021-01-15,0.6665427
2021-02-15,0.6722018
2021-03-15,0.4810873
2021-04-15,0.08462089
2021-05-15,0.38720575
2021-06-15,0.5856407
2021-07-15,0.80857533
2021-08-15,0.6457849
2021-09-15,0.516964
2021-10-15,0.13186911
2021-11-15,0.17735085
2021-12-15,-0.22660743
2022-01-15,0.046565752
2022-02-15,0.16946049
2022-03-15,-0.04815301
2022-04-15,-0.05982546
2022-05-15,0.7752438
2022-06-15,1.6604502
2022-07-15,1.4542083
2022-08-15,1.1934645
2022-09-15,1.0844667
2022-10-15,0.5757161
2022-11-15,0.93613595
2022-12-15,0.9098711
2023-01-15,1.2279127
2023-02-15,0.6464795
2023-03-15,0.88648695
2023-04-15,0.8207897
2023-05-15,0.36860874
2023-06-15,0.80010134
2023-07-15,1.7588874
2023-08-15,0.8516034
2023-09-15,0.7074357
2023-10-15,1.4092753
2023-11-15,1.348947
2023-12-15,0.96655256
